id_torneo,nombre,fecha_inicio,fecha_fin,source
1,2008-2009 Champions League Stats,2008-09-16,2009-05-27,2008-2009.txt
2,2010-2011 Champions League Stats,2010-09-14,2011-05-28,2010-2011.txt
3,2014-2015 Champions League Stats,2014-09-16,2015-06-06,2014-2015.txt
4,2015-2016 Champions League Stats,2015-09-15,2016-05-28,2015-2016.txt
5,2018-2019 Champions League Stats,2018-09-18,2019-06-01,2018-2019.txt
6,Historia: Juventus 1-3 Barcelona | UEFA Champions League 2014/15 Final | UEFA.com,,,ejemplo_partido.txt
7,2010-2011 Champions League Stats,,,ejemplo_test.txt
